id,artist,title,label,category,format,price,item_url,thumb_url
63,Brad Strider,Bradleys Beat (Part One),Disco Inferno,techno,One sided 12,12.49,https://clone.nl//item63202.html,https://clone.nl/platen/artwork/large/plaatimage62500.jpg
64,Illuvia,Milla,Avoidance,techno,12inch,12.99,https://clone.nl//item63194.html,https://clone.nl/platen/artwork/large/plaatimage62492.jpg
65,Various Artists,RM241220,Nullpunkt,techno,12inch,9.99,https://clone.nl//item63190.html,https://clone.nl/platen/artwork/large/plaatimage62488.jpg
66,Orbe,Psy Visionary,Nullpunkt,techno,4x12inch,9.99,https://clone.nl//item63182.html,https://clone.nl/platen/artwork/large/plaatimage62481.jpg
67,SNTS,EVOKED RVPTVRE,Avant Roots,techno,12inch,9.99,https://clone.nl//item63178.html,https://clone.nl/platen/artwork/large/plaatimage62478.jpg
68,Ayarcana,Laminator (Perc remix),Hospital Productions,techno,12inch,11.49,https://clone.nl//item63176.html,https://clone.nl/platen/artwork/large/plaatimage62476.jpg
69,Wa Wu We,Wa Wu We 004,Materia,techno,12inch,11.99,https://clone.nl//item63174.html,https://clone.nl/platen/artwork/large/plaatimage62474.jpg
70,Phara,Life of Krumar EP,Mechanism,techno,12inch,11.99,https://clone.nl//item63173.html,https://clone.nl/platen/artwork/large/plaatimage62473.jpg
71,KAS:ST,The Light at the end of the Tunnel (Vril remix),Gurriers,techno,12inch,29.99,https://clone.nl//item63171.html,https://clone.nl/platen/artwork/large/plaatimage62470.jpg
72,Niki Istrefi / Draugr,BRV001,Aquaregia Records,techno,12inch,11.99,https://clone.nl//item63169.html,https://clone.nl/platen/artwork/large/plaatimage62469.jpg
73,Moist 96,Untitled,MHZ,techno,LP,84.99,https://clone.nl//item63134.html,https://clone.nl/platen/artwork/large/plaatimage62433.jpg
74,Inkasso,ZEICHEN IM SCHACHT DER VERSCHLEIERTEN TATSACHEN,Audition,techno,LP,10.99,https://clone.nl//item63131.html,https://clone.nl/platen/artwork/large/plaatimage62430.jpg
75,Biochip,Crux Alley,200 Records,techno,12inch,12.99,https://clone.nl//item63126.html,https://clone.nl/platen/artwork/large/plaatimage62425.jpg
76,Various Artists,"Sharpen, Moving",Odd Even,techno,2x12inch,49.99,https://clone.nl//item63124.html,https://clone.nl/platen/artwork/large/plaatimage62423.jpg
77,Various Artists,"Sharpen, Moving Sampler",Xtra Nova,techno,12inch,11.99,https://clone.nl//item63122.html,https://clone.nl/platen/artwork/large/plaatimage62422.jpg
78,Mousse & Trevor,Northstar / Darron,Hypnus Records,techno,7inch,10.99,https://clone.nl//item63118.html,https://clone.nl/platen/artwork/large/plaatimage62418.jpg
79,BinaryFunction,589.592 (Incl. Carl Finlow Remix),Rand Muzik,techno,12inch,12.49,https://clone.nl//item63112.html,https://clone.nl/platen/artwork/large/plaatimage62412.jpg
80,Aleks,From Space with Love,Orbe,techno,Cassette Tape + MP3,10.99,https://clone.nl//item63110.html,https://clone.nl/platen/artwork/large/plaatimage62410.jpg
81,Trippsy,Trancematic,SNTS,techno,12inch,9.99,https://clone.nl//item63109.html,https://clone.nl/platen/artwork/large/plaatimage62409.jpg
82,Pluto Junkies,Flying Spaghetti Monstership,South London Analogue Material,techno,12inch,10.99,https://clone.nl//item63108.html,https://clone.nl/platen/artwork/large/plaatimage62408.jpg
83,FJAAK,SYS02,Wa Wu We,techno,EP,20.99,https://clone.nl//item63083.html,https://clone.nl/platen/artwork/large/plaatimage62387.jpg
84,Cuften,Solar Ashes,SK Eleven,techno,12inch,22.99,https://clone.nl//item63078.html,https://clone.nl/platen/artwork/large/plaatimage62378.jpg
85,Sciahri,Seyl,Materia,techno,12inch,12.49,https://clone.nl//item63073.html,https://clone.nl/platen/artwork/large/plaatimage62377.jpg
86,Norbak,Flesh To Ashes LP,BRVTAL,techno,2x12inch,23.99,https://clone.nl//item63072.html,https://clone.nl/platen/artwork/large/plaatimage62376.jpg
87,Disguised & Daniel Heinrich,Awaking The Legacy,LIES,techno,12inch,10.49,https://clone.nl//item63071.html,https://clone.nl/platen/artwork/large/plaatimage62375.jpg
88,Axling,Perplex,Osare Editions,techno,12inch,12.49,https://clone.nl//item63069.html,https://clone.nl/platen/artwork/large/plaatimage62373.jpg
89,QphoriQ,Quasars Infrared,Central Processing Unit,techno,12inch,13.49,https://clone.nl//item63068.html,https://clone.nl/platen/artwork/large/plaatimage62372.jpg
90,Automat / Shcuro,Acid Avengers 017,Timedance,techno,12inch,13.49,https://clone.nl//item63063.html,https://clone.nl/platen/artwork/large/plaatimage62367.jpg
91,Various Artists,ARTS V - disc 5,Timedance,techno,12inch,16.99,https://clone.nl//item63060.html,https://clone.nl/platen/artwork/large/plaatimage62364.jpg
92,Various Artists,ARTS V - disc 4,Butter Sessions,techno,12inch,10.99,https://clone.nl//item63059.html,https://clone.nl/platen/artwork/large/plaatimage62363.jpg
93,Various Artists,ARTS V - disc 3,Science Cult,techno,12inch,11.99,https://clone.nl//item63058.html,https://clone.nl/platen/artwork/large/plaatimage62362.jpg
94,Various Artists,ARTS V - disc 2,Lonely Planets Records,techno,12inch,10.99,https://clone.nl//item63057.html,https://clone.nl/platen/artwork/large/plaatimage62361.jpg
95,Various Artists,ARTS V - disc 1,FTF Records,techno,12inch,10.99,https://clone.nl//item63056.html,https://clone.nl/platen/artwork/large/plaatimage62360.jpg
96,Fabrizio Lapiana,Cantamen,Mindri,techno,12inch,23.99,https://clone.nl//item63048.html,https://clone.nl/platen/artwork/large/plaatimage62352.jpg
97,Various Artists,EP4,Fjaak,techno,12inch,9.99,https://clone.nl//item63045.html,https://clone.nl/platen/artwork/large/plaatimage62349.jpg
98,Various Artists,EP2,Planet Phuture,techno,12inch,12.49,https://clone.nl//item63043.html,https://clone.nl/platen/artwork/large/plaatimage62347.jpg
99,Various Artists,EP1,Envra,techno,12inch,11.49,https://clone.nl//item63042.html,https://clone.nl/platen/artwork/large/plaatimage62346.jpg
100,J. Wiltshire,AUX4424,Warm Up Recordings,techno,LP,11.99,https://clone.nl//item63040.html,https://clone.nl/platen/artwork/large/plaatimage62344.jpg
101,Jad & The,Infinite Autonomy (Incl. Priori Remix),Inherit,techno,12inch,11.49,https://clone.nl//item63036.html,https://clone.nl/platen/artwork/large/plaatimage62340.jpg
102,Sugar,I Worry EP,Eternal Friction Records,techno,12inch,11.49,https://clone.nl//item63034.html,https://clone.nl/platen/artwork/large/plaatimage62338.jpg
103,NNHMN,Deception Island Part 2,Corpus,techno,Mini-LP,11.49,https://clone.nl//item63032.html,https://clone.nl/platen/artwork/large/plaatimage62335.jpg
104,Various Artists,Absolute Body Control (1980/2020),Acid Avengers,techno,3LP,11.49,https://clone.nl//item63030.html,https://clone.nl/platen/artwork/large/plaatimage62336.jpg
105,Bella Boo,Lets Go Out,Arts,techno,12inch,11.49,https://clone.nl//item63029.html,https://clone.nl/platen/artwork/large/plaatimage62333.jpg
106,Kindest Cuts,Keeping Distance,Arts,techno,LP + 7inch,10.99,https://clone.nl//item63028.html,https://clone.nl/platen/artwork/large/plaatimage62332.jpg
107,Various Artists,Volume 2,Arts,techno,12inch,11.49,https://clone.nl//item63025.html,https://clone.nl/platen/artwork/large/plaatimage62329.jpg
108,Fastgraph,ROTOC,Arts,techno,12inch,11.49,https://clone.nl//item63012.html,https://clone.nl/platen/artwork/large/plaatimage62317.jpg
109,Vril,Alte Seele,Arts,techno,12inch,11.49,https://clone.nl//item62994.html,https://clone.nl/platen/artwork/large/plaatimage62303.jpg
110,DJ Overdose,Emulator Armour,Attic Music,techno,2LP,19.99,https://clone.nl//item62990.html,https://clone.nl/platen/artwork/large/plaatimage62299.jpg
111,Hiroaki Iizuka,Reflect EP,Possession,techno,12inch,18.99,https://clone.nl//item62985.html,https://clone.nl/platen/artwork/large/plaatimage62294.jpg
112,Jon Jones,Airflow,Possession,techno,12inch,23.99,https://clone.nl//item62976.html,https://clone.nl/platen/artwork/large/plaatimage62284.jpg
113,Kasper Marott,Full Circle,Possession,techno,2x12inch,23.99,https://clone.nl//item62973.html,https://clone.nl/platen/artwork/large/plaatimage62281.jpg
114,Various Artists,Radiant Energy,Mindcolormusic,techno,12inch,10.99,https://clone.nl//item62971.html,https://clone.nl/platen/artwork/large/plaatimage62279.jpg
115,LOSTSOUNDBYTES,Degenerate Brain,Solar One Music,techno,LP,23.99,https://clone.nl//item62970.html,https://clone.nl/platen/artwork/large/plaatimage62278.jpg
